alphaF,Group Pair,ω,FIC,Tier
0.05,African_American - Caucasian,0.09836595262175474,-0.9673190524350948,Unacceptable
0.05,African_American - Hispanic,0.13123973600223093,-1.6247947200446187,Unacceptable
0.05,African_American - Other_Race,0.1653929155612981,-2.307858311225962,Unacceptable
0.05,Caucasian - Hispanic,0.032873783380476196,0.3425243323904761,Questionable
0.05,Caucasian - Other_Race,0.06702696293954336,-0.3405392587908671,Unacceptable
0.05,Hispanic - Other_Race,0.03415317955906716,0.3169364088186568,Questionable
0.1,African_American - Caucasian,0.09836595262175474,0.016340473782452625,Questionable
0.1,African_American - Hispanic,0.13123973600223093,-0.31239736002230933,Unacceptable
0.1,African_American - Other_Race,0.1653929155612981,-0.6539291556129809,Unacceptable
0.1,Caucasian - Hispanic,0.032873783380476196,0.671262166195238,Acceptable
0.1,Caucasian - Other_Race,0.06702696293954336,0.32973037060456645,Questionable
0.1,Hispanic - Other_Race,0.03415317955906716,0.6584682044093284,Acceptable
0.15,African_American - Caucasian,0.09836595262175474,0.3442269825216351,Questionable
0.15,African_American - Hispanic,0.13123973600223093,0.12506842665179374,Questionable
0.15,African_American - Other_Race,0.1653929155612981,-0.10261943707532062,Unacceptable
0.15,Caucasian - Hispanic,0.032873783380476196,0.7808414441301587,Optimum
0.15,Caucasian - Other_Race,0.06702696293954336,0.5531535804030443,Acceptable
0.15,Hispanic - Other_Race,0.03415317955906716,0.7723121362728855,Optimum
0.2,African_American - Caucasian,0.09836595262175474,0.5081702368912263,Acceptable
0.2,African_American - Hispanic,0.13123973600223093,0.34380131998884533,Questionable
0.2,African_American - Other_Race,0.1653929155612981,0.17303542219350954,Questionable
0.2,Caucasian - Hispanic,0.032873783380476196,0.835631083097619,Optimum
0.2,Caucasian - Other_Race,0.06702696293954336,0.6648651853022832,Acceptable
0.2,Hispanic - Other_Race,0.03415317955906716,0.8292341022046642,Optimum
