alphaF,Group Pair,ω,FIC,Tier
0.05,Africa - Asia,0.05335385404642812,-0.06707708092856235,Unacceptable
0.05,Africa - South America,0.09451625538582054,-0.8903251077164107,Unacceptable
0.05,Africa - Oceania,0.12793148880105398,-1.5586297760210797,Unacceptable
0.05,Africa - EU,0.1600075165010687,-2.200150330021374,Unacceptable
0.05,Africa - Arab/Middle East,0.042342883857610314,0.15314232284779372,Questionable
0.05,Africa - North America,0.12187088274044788,-1.4374176548089577,Unacceptable
0.05,Asia - South America,0.04116240133939242,0.17675197321215164,Questionable
0.05,Asia - Oceania,0.07457763475462587,-0.4915526950925173,Unacceptable
0.05,Asia - EU,0.10665366245464059,-1.1330732490928117,Unacceptable
0.05,Asia - Arab/Middle East,0.011010970188817804,0.7797805962236439,Optimum
0.05,Asia - North America,0.06851702869401977,-0.3703405738803953,Unacceptable
0.05,South America - Oceania,0.03341523341523345,0.33169533169533105,Questionable
0.05,South America - EU,0.06549126111524817,-0.30982522230496334,Unacceptable
0.05,South America - Arab/Middle East,0.05217337152821022,-0.043467430564204435,Unacceptable
0.05,South America - North America,0.027354627354627348,0.45290745290745305,Questionable
0.05,Oceania - EU,0.03207602770001472,0.3584794459997056,Questionable
0.05,Oceania - Arab/Middle East,0.08558860494344367,-0.7117720988688734,Unacceptable
0.05,Oceania - North America,0.0060606060606061,0.878787878787878,Optimum
0.05,EU - Arab/Middle East,0.11766463264345839,-1.3532926528691678,Unacceptable
0.05,EU - North America,0.03813663376062082,0.2372673247875836,Questionable
0.05,Arab/Middle East - North America,0.07952799888283757,-0.5905599776567514,Unacceptable
0.1,Africa - Asia,0.05335385404642812,0.4664614595357188,Questionable
0.1,Africa - South America,0.09451625538582054,0.054837446141794643,Questionable
0.1,Africa - Oceania,0.12793148880105398,-0.27931488801053983,Unacceptable
0.1,Africa - EU,0.1600075165010687,-0.600075165010687,Unacceptable
0.1,Africa - Arab/Middle East,0.042342883857610314,0.5765711614238969,Acceptable
0.1,Africa - North America,0.12187088274044788,-0.21870882740447883,Unacceptable
0.1,Asia - South America,0.04116240133939242,0.5883759866060758,Acceptable
0.1,Asia - Oceania,0.07457763475462587,0.25422365245374134,Questionable
0.1,Asia - EU,0.10665366245464059,-0.06653662454640585,Unacceptable
0.1,Asia - Arab/Middle East,0.011010970188817804,0.889890298111822,Optimum
0.1,Asia - North America,0.06851702869401977,0.31482971305980234,Questionable
0.1,South America - Oceania,0.03341523341523345,0.6658476658476655,Acceptable
0.1,South America - EU,0.06549126111524817,0.34508738884751833,Questionable
0.1,South America - Arab/Middle East,0.05217337152821022,0.4782662847178978,Questionable
0.1,South America - North America,0.027354627354627348,0.7264537264537265,Acceptable
